INFO 2025-07-15 15:21:01,405 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:21:26,536 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:21:26,544 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:22:16,238 basehttp "POST /api/auth/logout/ HTTP/1.1" 200 37
INFO 2025-07-15 15:22:16,361 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:22:16,362 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:22:16,367 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:22:16,389 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
WARNING 2025-07-15 15:22:40,843 log Unauthorized: /api/me/
WARNING 2025-07-15 15:22:40,844 basehttp "GET /api/me/ HTTP/1.1" 401 58
WARNING 2025-07-15 15:22:40,877 log Unauthorized: /api/me/
WARNING 2025-07-15 15:22:40,881 basehttp "GET /api/me/ HTTP/1.1" 401 58
INFO 2025-07-15 15:22:40,926 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:22:40,944 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:22:40,968 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:22:40,987 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
WARNING 2025-07-15 15:23:32,568 log Unauthorized: /api/me/
WARNING 2025-07-15 15:23:32,576 basehttp "GET /api/me/ HTTP/1.1" 401 58
WARNING 2025-07-15 15:23:32,587 log Unauthorized: /api/me/
WARNING 2025-07-15 15:23:32,590 basehttp "GET /api/me/ HTTP/1.1" 401 58
INFO 2025-07-15 15:23:32,654 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
